2024-10-18 13:01:23 INFO  - HV000001: Hibernate Validator 8.0.1.Final
2024-10-18 13:01:24 INFO  - Starting TeacherApplication using Java 17.0.10 with PID 1120 (C:\Users\иуес\IdeaProjects\spring-teacher6\build\classes\java\main started by иуес in C:\Users\иуес\IdeaProjects\spring-teacher6)
2024-10-18 13:01:24 INFO  - The following 1 profile is active: "test"
2024-10-18 13:01:29 INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-18 13:01:30 INFO  - Finished Spring Data repository scanning in 531 ms. Found 3 JPA repository interfaces.
2024-10-18 13:01:35 INFO  - Tomcat initialized with port 8080 (http)
2024-10-18 13:01:36 INFO  - Root WebApplicationContext: initialization completed in 12076 ms
2024-10-18 13:01:41 INFO  - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-10-18 13:01:41 INFO  - HHH000026: Second-level cache disabled
2024-10-18 13:01:43 INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-18 13:01:45 WARN  - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-10-18 13:01:49 INFO  - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-18 13:01:49 INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-18 13:01:51 INFO  - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-10-18 13:01:51 WARN  - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-10-18 13:01:51 WARN  - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-18 13:01:51 INFO  - Adding welcome page template: index
2024-10-18 13:01:53 INFO  - Tomcat started on port 8080 (http) with context path '/'
2024-10-18 13:01:53 INFO  - Started TeacherApplication in 32.931 seconds (process running for 35.391)
2024-10-18 13:01:56 INFO  - Initializing Servlet 'dispatcherServlet'
2024-10-18 13:01:56 INFO  - Completed initialization in 7 ms
2024-10-18 13:01:57 WARN  - [THYMELEAF][http-nio-8080-exec-1][index] Deprecated unwrapped fragment expression "fragments/header :: headerFragment" found in template index, line 14, col 6. Please use the complete syntax of fragment expressions instead ("~{fragments/header :: headerFragment}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-18 13:01:57 WARN  - [THYMELEAF][http-nio-8080-exec-1][index] Deprecated unwrapped fragment expression "fragments/footer :: footerFragment" found in template index, line 22, col 6. Please use the complete syntax of fragment expressions instead ("~{fragments/footer :: footerFragment}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-18 13:03:24 INFO  - HV000001: Hibernate Validator 8.0.1.Final
2024-10-18 13:03:24 INFO  - Starting TeacherApplication using Java 17.0.10 with PID 14744 (C:\Users\иуес\IdeaProjects\spring-teacher6\build\classes\java\main started by иуес in C:\Users\иуес\IdeaProjects\spring-teacher6)
2024-10-18 13:03:24 INFO  - The following 1 profile is active: "test"
2024-10-18 13:03:27 INFO  - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-18 13:03:27 INFO  - Finished Spring Data repository scanning in 179 ms. Found 3 JPA repository interfaces.
2024-10-18 13:03:29 INFO  - Tomcat initialized with port 8080 (http)
2024-10-18 13:03:30 INFO  - Root WebApplicationContext: initialization completed in 6152 ms
2024-10-18 13:03:31 INFO  - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-10-18 13:03:31 INFO  - HHH000026: Second-level cache disabled
2024-10-18 13:03:33 INFO  - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-18 13:03:35 WARN  - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-10-18 13:03:43 INFO  - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-18 13:03:44 INFO  - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-18 13:03:46 INFO  - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-10-18 13:03:46 WARN  - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-10-18 13:03:46 WARN  - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-18 13:03:47 INFO  - Adding welcome page template: index
2024-10-18 13:03:48 INFO  - Tomcat started on port 8080 (http) with context path '/'
2024-10-18 13:03:48 INFO  - Started TeacherApplication in 25.813 seconds (process running for 27.126)
2024-10-18 13:03:50 INFO  - Initializing Servlet 'dispatcherServlet'
2024-10-18 13:03:50 INFO  - Completed initialization in 8 ms
2024-10-18 13:03:52 WARN  - [THYMELEAF][http-nio-8080-exec-1][index] Deprecated unwrapped fragment expression "fragments/header :: headerFragment" found in template index, line 14, col 6. Please use the complete syntax of fragment expressions instead ("~{fragments/header :: headerFragment}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
